ord,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,subrama
1155,8873223,PANADERIA SIN NOMBRE,,311812,Panificación tradicional,0 a 5 personas,CALLE,LEALTAD,CALLE,ESCUELA ANEXA,CALLE,ERNESTO M. DE KERATRY,CALLE,HACIENDA DE LAS BORREGAS,2870,,,NA,NA,,COLONIA,EMILIO CABALLERO,,,,87014,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1611,14,,,,Fijo,23.75798321,-99.1749768,2019-11,31181
1162,8787851,PANADERIA SIN NOMBRE,,311812,Panificación tradicional,0 a 5 personas,CALLE,LOMA BONITA,CALLE,NINGUNO,CALLE,ÓPALOS,CALLE,LOMA BLANCA,NA,SN,,NA,NA,,COLONIA,LOMA ALTA 2,,,,87180,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,247A,35,8341500527,,,Fijo,23.70096638,-99.14468241,2019-11,31181
1174,8785069,PANADERIA SIREH,,311812,Panificación tradicional,0 a 5 personas,CALLE,MAESTRA ESTEFANIA CASTAÑEDA,CALLE,NICOLAS BRAVO,CALLE,VICENTE GUERRERO,CALLE,21 DE DICIEMBRE,NA,SN,,NA,NA,,COLONIA,VICTORIA,,,,87090,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,990,33,,,,Fijo,23.73240908,-99.12443881,2019-11,31181
1288,4117734,PANIFICADORA Y PASTELERIA ISLAS DE MEXICO,,311812,Panificación tradicional,0 a 5 personas,BOULEVARD,LIBRAMIENTO DE TRANSITO PESADO LICENCIADO EMILIO PORTES GIL,CALLE,ZEFERINO MORALES,CALLE,ARTICULO 27,CALLE,ARTÍCULO 27,NA,SN,,NA,NA,,COLONIA,AMERICO VILLARREAL GUERRA,,,,87070,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1289,41,,,,Fijo,23.72036012,-99.18200321,2010-07,31181
1440,7929437,PIQUINES MEXICANO,PEN09110FV9 SPR DE RL DE CV,311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación,0 a 5 personas,CALLE,VENUSTIANO CARRANZA (22),CALLE,OLIVIA RAMIREZ,CALLE,CONRADO CASTILLO,CALLE,FERMÍN LEGORRETA (21),0,SN,,NA,0,,COLONIA,ASCENCION GOMEZ,,,,87040,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,806,16,,,PIQUINESMEXICANO.COM,Fijo,23.74493172,-99.15599589,2019-11,31142
2548,4123665,TORTILLERÍA LA ESTRELLA,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,CONSTITUCION,CALLE,MIER Y TERAN,CALLE,JOSE MARIA PINO SUAREZ,CALLE,REFORMA,0,SN,,NA,0,,COLONIA,LAS PALMAS,,,,87140,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1096,19,8341441472,,,Fijo,23.72005733,-99.15486597,2010-07,31183
2588,4122566,TORTILLERÍA LA LOMA,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,REPUBLICA DE MEXICO,CALLE,GENERAL SERVANDO CANALES,CALLE,SUBIDA AL SANTUARIO,CALLE,REPÚBLICA DE MÉXICO,827,,,NA,0,,COLONIA,GUADALUPE MAINERO,,,,87100,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1109,6,8343128948,,,Fijo,23.72365497,-99.14463152,2010-07,31183
2755,4100319,TORTILLERIA LIBERTAD,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,ARGENTINA,CALLE,VENEZUELA,CALLE,ALASKA,CALLE,URUGUAY,NA,SN,,NA,NA,,COLONIA,LA LIBERTAD,,,,87019,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,435,8,,,,Fijo,23.77182199,-99.1689982,2010-07,31183
2789,9367654,TORTILLERIA LOS TRES GARCIA,TORTILLERIA LOS TRES GARCIA ,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,RICARDO FLORES MAGON,CALLE,GENERAL LAZARO CARDENAS DEL RIO,CALLE,GENERAL FRANCISCO VILLA,CALLE,DOCTOR CARLOS CANALES,402,SN,,NA,NA,,COLONIA,DOCTORES,,,,87024,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,469,45,,,,Fijo,23.75127016,-99.13674842,2021-05,31183
2811,7929680,TORTILLERIA LUPITA 2,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,RIO ALAMO,CALLE,RIO LAS ABEJAS,CALLE,RIO CHIHUE,CALLE,RÍO CARRIZAL,0,SN,,NA,0,,COLONIA,LUIS ECHEVERRIA ALVAREZ,,,,87060,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1113,8,,,,Fijo,23.7103337,-99.18525489,2019-11,31183
2924,4100310,TORTILLERIA PEREZ,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,COLOMBIA,CALLE,JAMAICA,CALLE,ARGENTINA,CALLE,ALASKA,314,,,NA,NA,,COLONIA,LA LIBERTAD,,,,87019,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,435,5,,,,Fijo,23.77156132,-99.1632571,2010-07,31183
2972,4110227,TORTILLERIA ROVI,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,DOCTOR NORBERTO TREVIÑO ZAPATA (16),CALLE,SARA PEÑA,CALLE,PROFESOR PATROCINIO HUERTA,CALLE,EMILIANO P. NAFARRETE (14),0,SN,,NA,0,,COLONIA,MAGISTERIAL,,,,87026,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,069A,1,,,,Fijo,23.76356414,-99.14804709,2010-07,31183
3012,4110776,TORTILLERIA SAN LUISITO,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,GOLFO DE MEXICO,CALLE,MAR BALTICO,CALLE,MAR CASPIO,CALLE,MAR CARIBE,601,,,NA,NA,,FRACCIONAMIENTO,SAN LUISITO,,,,87049,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,492,12,,,,Fijo,23.76092384,-99.15527384,2010-07,31183
3105,4117792,TORTILLERIA Y ABARROTES ALONDRA,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALZADA,GENERAL LUIS CABALLERO,CALLE,NINGUNO,BOULEVARD,LIBRAMIENTO DE TRANSITO PESADO LICENCIADO EMILIO PORTES GIL,CALLE,SIERRA MADRE,NA,SN,,NA,NA,,COLONIA,AMERICO VILLARREAL GUERRA,,,,87070,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1293,37,,,,Fijo,23.71237304,-99.17461208,2010-07,31183
3160,4123979,TORTILLERIA YAHVE,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,UNIDOS VENCEREMOS,CALLE,NIÑO ARTILLERO,CALLE,CHAPULTEPEC,CALLE,FERNANDO MONTES DE OCA,NA,SN,,NA,NA,,COLONIA,CHAPULTEPEC,,,,87130,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,2164,37,,,,Fijo,23.71673577,-99.12281373,2010-07,31183
3173,8912693,TORTILLERIA ZU LEE,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,CAMINO A LA LIBERTAD,CALLE,SATURNO,CALLE,JUPITER,CALLE,CONSTELACIÓN,NA,SN,,NA,NA,,COLONIA,ESTRELLA,,,,87015,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1185,12,,,,Fijo,23.77241202,-99.1741127,2019-11,31183
3235,7929625,VENTA DE MASA Y MAIZ SIN NOMBRE,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,RIO PURIFICACION,CALLE,RIO SANTA CATARINA,CALLE,RIO SAN CRISTOBAL,CALLE,RÍO SAN CRISTÓBAL,110,,,NA,NA,,COLONIA,SAN MARCOS DOS,,,,87156,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,628,23,,,,Fijo,23.70209111,-99.17920312,2019-11,31183
3279,4081435,VENTA DE TORTILLAS DE HARINA SAN JUANITA,,311813,Elaboración de tortillas de harina de trigo de forma tradicional,0 a 5 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,CALLE,JOSE DE ESCANDON Y HELGUERA (0),CALLE,F. DE LA GARZA (1),CALLE,LICENCIADO BENITO JUÁREZ,1706,,,NA,NA,,COLONIA,ZONA CENTRO,,,,87000,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,971,25,,,,Fijo,23.73067672,-99.13775236,2014-12,31181
3296,6875420,4 ASES CITRUS,4 ASES CITRUS SPR DE RL DE CV,431130,Comercio al por mayor de frutas y verduras frescas,31 a 50 personas,CARRETERA,CARRETERA VICTORIA MONTERREY,OTRO (ESPECIFIQUE),SAN ANTONIO,CALLE,SIN NOMBRE,OTRO (ESPECIFIQUE),MANZANA 800,0,SN,,NA,0,,EJIDO,BENITO JUAREZ,,,,87260,28,TAMAULIPAS,41,Victoria,778,Ninguno,1467,800,,CRISTOSANTIAGOHDZ@HOTMAIL.COM,,Fijo,23.79121683,-99.13420522,2019-04,43113
3406,6276422,"CARNES VICTORIA, S.A. DE C.V.  AL POR MAYOR",CARNES VICTORIA SA DE CV,431121,Comercio al por mayor de carnes rojas,11 a 30 personas,CALLE,PAMES,CALLE,J. BAUTISTA DE M.,AVENIDA,JOSÉ SULAIMÁN CHAGNON,VIADUCTO,NINGUNO,521,,,NA,NA,,COLONIA,AMPLIACION ADOLFO LOPEZ MATEOS,,,,87020,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,825,30,,,,Fijo,23.74321582,-99.130783,2010-07,43112
3424,4100972,CENTRO DE DISTRIBUCIÓN DE HUEVO,,431140,Comercio al por mayor de huevo,0 a 5 personas,CALLE,SAN BENITO,OTRO (ESPECIFIQUE),NINGUNO,CALLE,SAN VALENTIN,CALLE,SAN JUAN,2606,,,NA,NA,M24 L11,COLONIA,EL MIRADOR,,,,87014,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,119A,7,,LUIS_SALAS1215@HOTMAIL.COM,,Fijo,23.75378687,-99.17609738,2010-07,43114
3592,6702723,JD ABARROTES Y PERECEDEROS  SUCURSAL VICTORIA,JD ABARROTES Y PERECEDEROS SA DE CV,431110,Comercio al por mayor de abarrotes,6 a 10 personas,AVENIDA,JOSE SULAIMAN CHAGNON,BOULEVARD,FIDEL VELÁZQUEZ SÁNCHEZ,CALLE,20 DE NOVIEMBRE,CALLE,18 DE JULIO,2010,,,NA,NA,,COLONIA,EMILIANO ZAPATA,,,,87080,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,051A,7,,ALEJANDRA.ELIZALDE@SPMIRAMAR.COM,,Fijo,23.75256677,-99.16803109,2016-01,43111
3652,6806054,PROGRAMA DE ABASTO SOCIAL TAMAULIPAS,LICONSA SA DE CV,431160,Comercio al por mayor de leche y otros productos lácteos,0 a 5 personas,CALLE,LIBRAMIENTO DEMOCRACIA,CALLE,DOBLADO,CALLE,BERNARDO GUTIÉRREZ DE LARA,CALLE,JOSÉ GUADALUPE MOLINA,875,,,NA,0,,COLONIA,A LAS AFUERAS DE LA CIUDAD,,,,87078,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1946,15,,,,Fijo,23.72361662,-99.18077154,2017-11,43116
3669,6402593,SABRITAS SUCURSAL CIUDAD VICTORIA 806,COMERCIALIZADORA PEPSICO MEXICO S DE RL DE CV,431192,Comercio al por mayor de botanas y frituras,51 a 100 personas,BOULEVARD,LIBERAMIENTO NACIONALES UNIDAS,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,0,0,SN,,NA,NA,,COLONIA,EL MIRADOR,,,,87018,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,119A,32,,,WWW.PEPSICO.COM.MX,Fijo,23.75043124,-99.17304973,2010-07,43119
6702,7929027,ABARROTES LOS TRAVIESOS,,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,LOS EBANOS,CALLE,DOCTOR EMILIO MARTINEZ MANAUTOU,CALLE,JAIME RODRIGUEZ INURRIGARRO,CALLE,SIN REFERENCIA,0,SN,,NA,0,,COLONIA,MODERNA,,,,87134,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1274,56,,,,Fijo,23.72683803,-99.10730616,2019-11,46211
6896,4117850,ABARROTES MARIA INES,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,PROLONGACION RIO BRAVO,CALLE,NINGUNO,OTRO (ESPECIFIQUE),MONTE,OTRO (ESPECIFIQUE),NINGUNO,518,,,NA,NA,,COLONIA,CAMINO REAL A TULA,,,,87070,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1039,47,,,,Fijo,23.71438225,-99.1693645,2010-07,46111
7868,7933576,ABARROTES SIN NOMBRE,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,GARDENIA,CALLE,FELIPE BERRIOZABAL,CALLE,EXPROPIACION PETROLERA,CALLE,CAMINO CALAMACO,NA,SN,,NA,NA,,FRACCIONAMIENTO,SIERRA VENTANA,,,,87030,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,558,28,,,,Fijo,23.74261696,-99.165501,2019-11,46111
7887,8913202,ABARROTES SIN NOMBRE,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,PEDRO JOSE MENDEZ,CALLE,10 DE MAYO,CALLE,5 DE MAYO (FRANCISCO GONZALEZ VILLARREAL),CALLE,ANTONIO RÁBAGO,0,SN,,NA,0,,COLONIA,ALTAVISTA,,,,87078,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,2234,9,8341989789,,,Fijo,23.72652786,-99.18701526,2019-11,46111
7910,7929252,ABARROTES SIN NOMBRE,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,ENRIQUE HIGUERA M.,CALLE,NINGUNO,CALLEJON,NINGUNO,CALLE,NINGUNO,NA,SN,,NA,NA,,EJIDO,LOMA ALTA,,,,87270,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1378,36,,,,Fijo,23.71002046,-99.14022618,2019-11,46111
8231,4111931,ABARROTES VERO,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,JOSE SULAIMAN CHAGNON,CALLE,ARTICULO 5,CALLE,REPUBLICA DE CHILE,CALLE,ARTÍCULO 17,0,SN,,NA,0,,AMPLIACION,GUADALUPE VICTORIA,,,,87024,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1768,36,,,,Fijo,23.76028433,-99.11675276,2010-07,46111
8574,8873124,ABARROTES YUSDY,,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,GENERAL LAZARO CARDENAS,CALLE,20 DE NOVIEMBRE,CALLE,FERMIN LEGORRETA,CALLE,GENERAL LÁZARO CÁRDENAS,220,,,NA,0,,COLONIA,LAS PALMAS,,,,87140,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1096,18,,,,Fijo,23.71918858,-99.15733044,2019-11,46211
8820,6457456,BEDEGA DE HELADOS SULTANA,HELADOS SULTANA DE MONTERREY SA DE CV,461170,Comercio al por menor de paletas de hielo y helados,0 a 5 personas,CALLE,DEL SOL,,NINGUNO,,NINGUNO,,NINGUNO,0,SN,,NA,NA,,HACIENDA,COMERCIAL DOS MIL,,,,87099,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,882,2,,,,Fijo,23.73802517,-99.13074507,2010-07,46117
9090,4110761,CARNES VILLANUEVA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,CAMINO A LA LIBERTAD,CALLE,AQUILES SERDAN,CALLE,BELISARIO DOMINGUEZ (23),CALLE,CONRADO CASTILLO,710,,,NA,NA,,COLONIA,ASCENCION GOMEZ,,,,87040,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1753,37,,,,Fijo,23.74590201,-99.15720411,2010-07,46112
9114,7294442,CARNICERIA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,COLOMBIA,CALLE,MEXICO,CALLE,URUGUAY,CALLE,PANAMÁ,NA,SN,,NA,NA,,COLONIA,SOLIDARIDAD VOLUNTAD Y TRABAJO,,,,87089,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1787,26,,,,Fijo,23.75245048,-99.11369594,2019-11,46112
9236,4123848,CARNICERÍA CHEPE,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,FRANCISCO HIGUERA,CALLE,GRAL. ANTONIO CANALES R.,CALLE,GENERAL JUAN MANUEL TORRES,AVENIDA,AMÉRICA ESPAÑOLA,0,SN,,NA,0,,COLONIA,AMPLIACION PEDRO SOSA,,,,87180,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1363,3,,,,Fijo,23.71730976,-99.13683566,2010-07,46112
9453,4123507,CARNICERÍA GABYS,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,CIPRES,CALLE,CANELO,CALLE,EUCALIPTO,CALLE,MANGO,314,,,NA,NA,,COLONIA,MANUEL A. RAVIZE,,,,87170,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1306,24,,,,Fijo,23.70581841,-99.16393891,2010-07,46112
9499,4100724,CARNICERÍA ITZEL,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,FRANCISCA CUMPEAN BARRON,CALLE,OCELOTE,CALLE,DOCTOR EMILIO MARTINEZ MANAUTOU,CALLE,MARÍA FRANCISCA ORTEGA PEDRAZA,NA,SN,,NA,NA,,COLONIA,CONJUNTO HAB ENFERMERAS,,,,87015,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1185,32,,,,Fijo,23.77588937,-99.17781494,2010-07,46112
9582,4082659,CARNICERIA LA ESPECIAL,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,ZEFERINO MORALES,CALLE,JOSE MARIA IGLESIAS,CALLE,LUCIO BLANCO,CALLE,JOSÉ SILVA SÁNCHEZ,NA,SN,,NA,NA,,COLONIA,AMERICO VILLARREAL GUERRA,,,,87070,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1293,3,,,,Fijo,23.71776895,-99.17809584,2014-12,46112
9622,6458621,CARNICERIA LA HUASTECA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,CALLE,JOSE MARIA PINO SUAREZ (18),CALLE,MIER Y TERAN (19),CALLE,JOSÉ MARÍA MORELOS Y PAVÓN,261,,,NA,NA,,COLONIA,CIUDAD VICTORIA CENTRO,,,,87000,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,948,33,8343123339,,,Fijo,23.73227745,-99.15420192,2010-07,46112
9670,4082640,CARNICERIA LA PASADITA,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,LEOPOLDO BELLO LOPEZ,CALLE,CAMINO VIEJO,CALLE,HORTENSIA,CALLE,FORTUNATO DE LEIJA,610,,,NA,NA,,COLONIA,AMERICA DE JUAREZ,,,,87078,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1946,28,,,,Fijo,23.72487579,-99.17272355,2014-12,46112
9991,4116221,CARNICERIA SATELITE,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,COSMOS,CALLE,MERCURIO,CALLE,TIERRA,CALLE,ANDRÓMEDA,3902,,,NA,NA,,COLONIA,SATELITE,,,,87089,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1344,22,,,,Fijo,23.74781635,-99.11623122,2010-07,46112
10219,7294185,CARNIICERIA GONZALEZ,,461121,Comercio al por menor de carnes rojas,0 a 5 personas,CALLE,IGNACIO ALDAMA,CALLE,PROFESOR LAURO AGUIRRE (11),CALLE,HERMANOS VAZQUEZ GOMEZ (10),CALLE,IGNACIO ALDAMA,902,,,NA,0,,COLONIA,MORELOS,,,,87050,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,863,6,,,,Fijo,23.73865132,-99.14557271,2019-11,46112
10246,9060681,CASILLA EL MERCURIO,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,BOULEVARD,FIDEL VELAZQUEZ SANCHEZ,CALLE,PAMORANES,CALLE,RICARDO FLORES MAGON,CALLE,JANAMBRES,0,SN,,NA,0,,COLONIA,ADOLFO LOPEZ MATEOS,,,,87020,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,076A,10,8342659260,,,Semifijo,23.74781354,-99.13775317,2019-11,46119
