"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","subrama"
"33958",1328470,"MI TIENDITA.ABARROTES","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","JUAN OLIVEROS","CALLE","IGNACIO ALLENDE","CALLE","JUAN OLIVEROS","OTRO (ESPECIFIQUE)","NINGUNO",51,"","",NA,NA,"","COLONIA","EL CERRITO","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0151",4,4131582744,"","","Fijo",20.5577709,-100.68202872,"2010-07","46111"
"34049",7944622,"MINI SUPER CRISTAL","",462112,"Comercio al por menor en minisupers","0 a 5 personas","CALLE","SIN REFERENCIA","PRIVADA","NINGUNO","AVENIDA","TRES GUERRAS","PRIVADA","NINGUNO",NA,"SN","",NA,NA,"","COLONIA","TRES GUERRAS","","","",38080,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0809",32,NA,"","","Fijo",20.51529105,-100.793102,"2019-11","46211"
"34985",1357533,"MISCELANEA TENANCINGO","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","ABEDUL","CALLE","LUIS GONZALEZ OBREGON","CALLE","VALLE DE SAN SEBASTIAN","OTRO (ESPECIFIQUE)","NINGUNO",259,"","",NA,0,"","COLONIA","GIRASOLES","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0724",68,NA,"","","Fijo",20.52530215,-100.83857825,"2010-07","46111"
"35879",6717940,"OXXO SUC 52VOK LOS OLIVOS BJX","CADENA COMERCIAL OXXO SA DE CV",462112,"Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","PASEO DE LOS OLIVOS","AVENIDA","LOS OLIVOS SUR","VIADUCTO","NINGUNO","AVENIDA","VALLE DE HUASCO",1238,"","",NA,NA,"","FRACCIONAMIENTO","RESIDENCIAL LOS OLIVOS","","","",38036,11,"GUANAJUATO",7,"Celaya",1,"Celaya","2701",25,NA,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo",20.54502564,-100.77673083,"2016-01","46211"
"35951",1327646,"PALETERIA","",461170,"Comercio al por menor de paletas de hielo y helados","0 a 5 personas","CALLE","LOS ANGELES","CALLE","FRAY SERVANDO TERESA DE MIER","CALLE","HERNAN CORTES","CALLE","FRAY SERVANDO TERESA DE MIER",109,"","",NA,NA,"","LOCALIDAD","SAN JOSE AGUA AZUL","","","",38194,11,"GUANAJUATO",5,"Apaseo el Grande",45,"San José Agua Azul","0147",21,NA,"","","Fijo",20.48596825,-100.6560216,"2010-07","46117"
"37070",1247616,"PESCADERIA LOS SOCIOS","",461123,"Comercio al por menor de pescados y mariscos","0 a 5 personas","CALLE","LIMONERO","CALLE","ÁLAMO","CALLE","HUIZACHE","CALLE","JACARANDA",NA,"SN","",NA,NA,"","COLONIA","GIRASOLES","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1116",25,NA,"","","Fijo",20.52653383,-100.83713499,"2014-12","46112"
"38218",7856529,"POLLO FELIZ EXPRESS","",461122,"Comercio al por menor de carne de aves","0 a 5 personas","CALLE","ANTONIO PLAZA","CALLE","VENUSTIANO CARRANZA","PRIVADA","ANTONIO PLAZA","CALLE","GENERAL ÁLVARO OBREGÓN",103,"B","",NA,NA,"","COLONIA","CENTRO","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0113",11,4426686173,"","","Fijo",20.5457081,-100.69090305,"2019-11","46112"
"38621",9156869,"QUESOS Y YOGURT SIN NOMBRE","",461150,"Comercio al por menor de leche, otros productos lácteos y embutidos","0 a 5 personas","CALLE","CUAUHTEMOC","CALLE","MANUEL DOBLADO","CALLE","ANDRES QUINTANA ROO","CALLE","JAVIER NAVARRO",NA,"SN","",NA,NA,"3","COLONIA","CELAYA CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0141",2,NA,"","","Fijo",20.52311137,-100.81833421,"2019-11","46115"
"38699",1352306,"SALCHICHONERIA LA ECONÓMICA","",461150,"Comercio al por menor de leche, otros productos lácteos y embutidos","0 a 5 personas","BOULEVARD","ADOLFO LOPEZ MATEOS","CALLE","TENOCHTITLAN","CALLE","MITLA","PRIVADA","NINGUNO",404,"","",NA,0,"","BARRIO","CELAYA CENTRO","","","",38057,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0175",28,NA,"","","Fijo",20.51931002,-100.80772154,"2010-07","46115"
"39135",6432988,"SUPER CARNICERIA ALIS","SUPER CARNICERÍA ALIS ",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","JUAN JOSE TORRES LANDA","CALLE","MARFIL","AVENIDA","BRILLANTE","CALLE","PERLA",203,"SN","",NA,0,"","COLONIA","SAN JUANICO","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1192",23,NA,"","","Fijo",20.53933292,-100.83961754,"2010-07","46112"
"39361",1339676,"SUPER S","",462112,"Comercio al por menor en minisupers","0 a 5 personas","CALLE","LAZARO CARDENAS","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO","PRIVADA","NINGUNO",NA,"SN","",NA,NA,"","LOCALIDAD","TENERIA DEL SANTUARIO","","","",38120,11,"GUANAJUATO",7,"Celaya",185,"Tenería del Santuario","2006",1,NA,"","","Fijo",20.59927635,-100.79985364,"2010-07","46211"
"40834",7846477,"TIENDA DE ABARROTES","",462112,"Comercio al por menor en minisupers","0 a 5 personas","CALLE","NICOLAS BRAVO","CALLE","BENITO JUAREZ","CALLE","MADERO","CALLE","AMADO NERVO",111,"","",NA,0,"","LOCALIDAD","SAN MIGUEL OCTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",13,4612103289,"","","Fijo",20.57369172,-100.7449303,"2019-11","46211"
"45866",1353393,"TIENDA DE ABARROTES LA TIENDITA.COM","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","JUAN M. BANDERA SUR","CALLE","JUAN ESCUTIA","CALLE","JUAN DE LA BARRERA","CALLE","REVOLUCIÓN AGRARIA",206,"","",NA,NA,"","COLONIA","AMPLIACION EMILIANO ZAPATA","","","",38030,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1154",8,NA,"","","Fijo",20.54069961,-100.79578111,"2010-07","46111"
"51272",1353142,"TIENDA DE ABARROTES SIN NOMBRE","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","JOSEFA MATAMOROS","CALLE","JOSEFA NATERA","CALLE","ROSA J. DE POZOS","CALLE","ANA MARÍA ORTEGA",126,"","",NA,0,"","COLONIA","LAS INSURGENTES","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1101",15,NA,"","","Fijo",20.52507051,-100.79830146,"2010-07","46111"
"53069",8676981,"TIENDA DE ABARROTES SIN NOMBRE","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CIRCUITO","VILLA DEL PUEBLECITO","CALLE","VILLA DOLORES","CALLE","VILLA ROSARIO","CIRCUITO","VILLA DEL PUEBLECITO",NA,"SN","",NA,NA,"","FRACCIONAMIENTO","VILLA DE LOS REALES","","","",38034,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1652",8,4616088749,"","","Fijo",20.5346898,-100.79238519,"2019-11","46111"
"54626",9039787,"TIENDA DE PIÑATA","",461160,"Comercio al por menor de dulces y materias primas para repostería","0 a 5 personas","CALLE","MARIANO JIMENEZ","CALLE","ANTONIO NAVA CATALAN","CALLE","MARIANO ABASOLO","CALLE","LOS AZTECAS",486,"","",NA,NA,"","COLONIA","BARRIO DE TIERRANEGRAS","","","",38040,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0103",30,NA,"","","Fijo",20.52909578,-100.823616,"2019-11","46116"
"54700",8080009,"TIENDA DE SEMILLAS Y CHILES SECOS EL RENACIMIENTO","",461140,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos","0 a 5 personas","CALLE","IGNACIO ZARAGOZA","CALLE","LEON GUZMAN","CALLE","MARIANO JIMENEZ","CALLE","GONZÁLEZ ORTEGA",414,"","",NA,NA,"","COLONIA","CORTAZAR CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0125",3,NA,"","","Fijo",20.47972912,-100.96312836,"2019-11","46114"
"55062",8678854,"TIENDA SIN NOMBRE","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","SAN ISIDRO","CALLE","LUIS DONALDO COLOSIO","CALZADA","CALZADA DE GUADALUPE","AVENIDA","DEPORTIVA",105,"","",NA,NA,"","COLONIA","LA VILLITA","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0166",102,NA,"","","Fijo",20.54559591,-100.67382289,"2019-11","46111"
"55864",1328236,"VENTA DE ABARROTES, ULTRAMARINOS Y MISCELANEAS","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","LAS FLORES","CALLE","LOS LAURELES","CALLE","RIO LERMA","CALLE","MIRASOLES",208,"","",NA,NA,"","COLONIA","LOMA BONITA","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0166",55,NA,"","","Fijo",20.54840055,-100.66786682,"2010-07","46111"
"56148",9105924,"VENTA DE CHURROS LA CASA DE LA BOTANA","",461190,"Comercio al por menor de otros alimentos","6 a 10 personas","AVENIDA","BENITO JUAREZ","CALLE","CUAUHTEMOC","CALLE","PORTAL CONSTITUCION","CALLE","FRANCISCO I. MADERO",145,"","",NA,NA,"","COLONIA","CORTAZAR CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0055",5,NA,"","","Fijo",20.48458875,-100.96306717,"2019-11","46119"
"56424",8609726,"VENTA DE FRITURAS Y HELADOS SIN NOMBRE","",461190,"Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","PIPILA","CALLE","21 DE MARZO","CALLE","15 DE MAYO","CALLE","GONZÁLEZ ORTEGA",527,"","",NA,NA,"","COLONIA","CORTAZAR CENTRO","","","",38200,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0125",4,NA,"","","Fijo",20.47902836,-100.96568348,"2019-11","46119"
"56689",8079857,"VENTA DE FRUTAS Y VERDURAS SIN NOMBRE","",461130,"Comercio al por menor de frutas y verduras frescas","0 a 5 personas","CALLE","SOSTENES ROCHA","CALLE","SANTOS DEGOLLADO","CALLE","LEANDRO VALLE","CALLE","NICOLÁS BRAVO",347,"","",NA,NA,"","COLONIA","CORTAZAR CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0040",8,NA,"","","Fijo",20.48607102,-100.95921304,"2019-11","46113"
"58606",6156548,"TRANSPORTES MONTERO","",484121,"Autotransporte foráneo de productos agrícolas sin refrigeración","0 a 5 personas","AVENIDA","REAL DEL MONTE","CALLE","MONTE OLIMPO","CARRETERA","PANAMERICANA","CALLE","NINGUNO",0,"SN","",NA,0,"","COLONIA","CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0724",44,NA,"TRANSPORTEAM81@HOTMAIL.COM","","Fijo",20.51508847,-100.84533507,"2010-07","48412"
"58644",6468485,"GRANO DE ORO DEL BAJIO, S.A. DE C.V.","GRANO DE ORO DEL BAJIO SA DE CV",493130,"Almacenamiento de productos agrícolas que no requieren refrigeración","6 a 10 personas","CALLE","VICENTE A. RUÍZ","CALLE","5","CALLE","5","CALLE","GUILLERMO PRIETO",120,"SN","",NA,0,"","COLONIA","CENTRO","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0109",61,NA,"GRANODEORODELBAJIO@HOTMAIL.COM","","Fijo",20.54779015,-100.69050038,"2014-12","49313"
"58762",1347803,"ALICIA TORRES EVENTOS","",722320,"Servicios de preparación de alimentos para ocasiones especiales","0 a 5 personas","CALLE","GUILLERMO PRIETO","PRIVADA","NINGUNO","CALLE","20 DE NOVIEMBRE","ANDADOR","ANDADOR DE NAYARIT",702,"","",NA,NA,"","COLONIA","LOS VEINTES","","","",38050,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1239",34,NA,"","","Fijo",20.53123278,-100.805177,"2010-07","72232"
"62192",9353370,"CENADURIA LUPITA","",722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","CALLE","DURANGO","CALLE","TUXTLA GUTIERREZ","CALLE","VERACRUZ","CALLE","PUEBLA",246,"","",NA,NA,"","COLONIA","SANTA RITA","","","",38030,11,"GUANAJUATO",7,"Celaya",1,"Celaya","114A",1,NA,"","","Fijo",20.54590613,-100.78998446,"2021-05","72251"
"63706",7856490,"COCINA CRIS","",722518,"Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","CALLE","PLAN DE IGUALA","CALLE","JOSE MARIA PINO SUAREZ","CALLE","JOSE MARIA LUIS MORA","CALLE","PLAN DE AYUTLA",NA,"SN","",NA,NA,"","COLONIA","EL VERGEL","","","",38078,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1224",5,4611848979,"","","Fijo",20.51698549,-100.80451902,"2019-11","72251"
"64809",8585509,"COMEDOR INDUSTRIAL","",722310,"Servicios de comedor para empresas e instituciones","0 a 5 personas","CARRETERA","LOCALIDAD 800","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO",NA,"DOMICILIO CONOCIDO","",NA,NA,"","CORREDOR INDUSTRIAL","TRANSPORTES ESPECIALIZADOS ALMU","","","",38110,11,"GUANAJUATO",7,"Celaya",751,"Ninguno [Fábrica de Ensamble]","0071",800,NA,"","","Fijo",20.51926667,-100.86363889,"2019-11","72231"
"66361",1358698,"EL SAZON DE BETY","",722518,"Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","CALLE","CAMICHIN","CALLE","ÉBANO","CALLE","PRIMAVERA","AVENIDA","JUAN JOSÉ TORRES LANDA",100,"","",NA,0,"","COLONIA","LOS LAURELES 1A SECCION","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1262",13,4612809356,"","","Fijo",20.53630153,-100.83074131,"2010-07","72251"
"67951",7857546,"GORDITAS DOÑA LOLA","",722513,"Restaurantes con servicio de preparación de antojitos","0 a 5 personas","CALLE","16 DE SEPTIEMBRE","CALLE","INSURGENTES","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","INDEPENDENCIA",102,"","",NA,NA,"","COLONIA","LOMA BONITA","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0166",49,NA,"","","Semifijo",20.54813995,-100.67132773,"2019-11","72251"
"69204",6261626,"HOTEL MISIÓN EXPRESS CELAYA","PROHOHUA SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CARRETERA","VIALIDAD INDUSTRIAL CELAYA - VILLAGRAN ","CALLE","AVENIDA AEROPUERTO","CALLE","AVENIDA AEROPUERTO","CALLE","SIN REFERENCIA",0,"SN","",NA,0,"","FRACCIONAMIENTO","EL PUENTE","","","",38110,11,"GUANAJUATO",7,"Celaya",137,"Colonia Fraccionamiento el Puente","0071",21,NA,"CONTRALORCELAYA@HOTELESMISION.COM.MX","WWW.HOTELESMISION.COM.MX","Fijo",20.51667199,-100.89588453,"2014-12","72111"
"69836",1280069,"JUGOS Y LICUADOS CLAUDIA","",722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares","0 a 5 personas","CALLE","TRABAJADORES UNIDOS","CALLE","DIVISION DEL NORTE","CALLE","FRANCISCO FERNANDO HERRERA ROCHA","CALLE","DIVISIÓN DEL NORTE",1032,"A","",NA,NA,"","COLONIA","CARRILLO PUERTO","","","",38350,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0197",9,NA,"","","Fijo",20.47184213,-100.95886548,"2010-07","72251"
"72804",6333440,"MC DONALDS","RESTAURANTES ADMX S DE RL DE CV",722516,"Restaurantes de autoservicio","11 a 30 personas","CALLE","SIN REFERENCIA","CALLE","5","PRIVADA","19","CALLE","5",801,"","",NA,0,"","COLONIA","15 DE MAYO","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","2167",2,4611576059,"","WWW.MCDONLDS.COM.MX","Fijo",20.54885699,-100.83933097,"2010-07","72251"
"77538",9342501,"RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR","",722518,"Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","CALLE","CAMINO A JOFRE","CALLE","SANTA CLARA","OTRO (ESPECIFIQUE)","SIN REFERENCIA","CALLE","SANTA MÓNICA",1214,"B","",1,NA,"","COLONIA","SANTA ISABEL","","","",NA,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1385",2,4611279691,"","","Fijo",20.50301047,-100.81889064,"2021-05","72251"
"83129",1246183,"TIENDA ESCOLAR TURNO VESPERTINO","",722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares","0 a 5 personas","CALLE","ECOLOGISTAS","CALLE","MANUEL OROZCO Y BERRA","CALLE","INDUSTRIALES","CALLE","ARQUITECTOS",NA,"SN","",NA,NA,"","COLONIA","RESIDENCIAL TECNOLOGICO","","","",38010,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1559",8,NA,"","","Semifijo",20.54605788,-100.80715715,"2014-12","72251"
"88263",8679122,"VENTA DE TACOS Y GORDITAS SIN NOMBRE","",722514,"Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","AVENIDA SANTA BARBARA","CALLE","GENERAL JOSE OVANDO","CALLE","GENERAL CIRIACO VAZQUEZ","CALLE","LA JOYA",142,"","",NA,NA,"","LOCALIDAD","COLONIA PEDRO MARIA ANAYA","","","",38110,11,"GUANAJUATO",7,"Celaya",415,"Colonia Pedro María Anaya","0071",14,NA,"","","Fijo",20.52772115,-100.87828523,"2019-11","72251"
"88541",8030870,"VENTA DE TORTAS Y HAMBURGUESAS SIN NOMBRE","",722514,"Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","FRAY MARTIN DE PORRES","CALLE","FRAY JUAN DE SAN MATIAS","CALLE","FRAY JUAN DE SAN MIGUEL","CALLE","FRAY CERVANDO TERESA DE MIER",503,"A","",NA,NA,"","COLONIA","PADRE NIEVES","","","",38357,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","020A",20,NA,"","","Fijo",20.46815348,-100.95827988,"2019-11","72251"
